Arroz blanco,Primavera;Verano;Otono;Invierno,IngredientesArrozBlanco.csv,PasosArrozBlanco.csv,Entrante;Guarnicion,8
Ensalada,Primavera;Verano;Otono;Invierno,IngredientesEnsalada.csv,PasosEnsalada.csv,Entrante;Guarnicion,8
Sopa,Otono;Invierno,IngredientesSopa.csv,PasosSopa.csv,Entrante,8
Gazpacho,Primavera;Verano,IngredientesGazpacho.csv,PasosGazpacho.csv,Entrante,8
Ensalada Rusa,Primavera;Verano,IngredientesEnsaladaRusa.csv,PasosEnsaladaRusa.csv,Entrante;Guarnicion,8
Pechuga de pollo,Primavera;Verano;Otono;Invierno,IngredientesPechugaPollo.csv,PasosPechugaPollo.csv,Principal,8
Filete de ternera,Primavera;Verano;Otono;Invierno,IngredientesFileteTernera.csv,PasosFileteTernera.csv,Principal,8
Carrilladas,Primavera;Verano;Otono;Invierno,IngredientesCarrilladas.csv,PasosCarrilladas.csv,Principal,8
Hamburguesa,Primavera;Verano;Otono;Invierno,IngredientesHamburguesa.csv,PasosHamburguesa.csv,Principal,8
Filete de pavo,Primavera;Verano;Otono;Invierno,IngredientesFiletePavo.csv,PasosFiletePavo.csv,Principal,8
Filete de pavo,Primavera;Verano;Otono;Invierno,IngredientesFiletePavo.csv,PasosFiletePavo.csv,Principal,8
